Column,expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
2448,2022-04-24,Carroll Community College Foundation,Carroll Community College Foundation,1601 Washington Road  Westminster  Maryland 21158,Business/Group/Organization,500.0000,Krebs  Susan Friends Of,Media,Book/Brochure Advertising,,Check,,Electoral,,
2449,2022-06-04,Nation Builder,NationBuilder,520 S. Grand Ave  2nd Floor  Los Angeles  California 90071,Business/Group/Organization,145.0000,Krebs  Susan Friends Of,Media,Online Advertising,,Check,Susan Wolf Krebs,Electoral,Reimburse Monthly Fees,
2450,2022-06-04,Constant Contact  Inc.,Constant Contact,1601 Trapelo Road  Waltham  Maryland 02451,Business/Group/Organization,53.0000,Krebs  Susan Friends Of,Media,Online Advertising,,Check,Susan Wolf Krebs,Electoral,,
2451,2022-01-21,SQUARESPACE INC.,SQUARESPACE INC.,225 VARICK STREET  NEW YORK  New York 10014,Business/Group/Organization,31.8000,Bagnall Tudball  Heather Citizens for,Media,Media - Website Development,,Debit Card,,Electoral,,
2452,2022-02-04,Coffee News Bowie,Coffee News Bowie,7404 Macon Drive  Glen Burnie  Maryland 21060,Business/Group/Organization,159.0000,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2453,2022-05-26,,,,Reimburse,479.5200,Lam  Clarence Friends of,Media,Phones / Robo calls,,Check,The Sexton Group,Electoral,Robo Calls for Town Hall,
2454,2022-04-21,SQUARESPACE INC.,SQUARESPACE INC.,225 VARICK STREET  NEW YORK  New York 10014,Business/Group/Organization,31.8000,Bagnall Tudball  Heather Citizens for,Media,Media - Website Development,,Debit Card,,Electoral,,
2455,2022-05-02,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,8.0200,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2456,2022-05-05,Coffee News Bowie,Coffee News Bowie,7404 Macon Drive  Glen Burnie  Maryland 21060,Business/Group/Organization,159.0000,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2457,2022-05-09,Canva.com,Canva.com,110 Kippax Street  Surry Hills  NSW 2010  AUSTRALIA,Business/Group/Organization,119.9900,Bagnall Tudball  Heather Citizens for,Media,Graphic Design,,Debit Card,,Electoral,,
2458,2022-05-10,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,75.0000,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2459,2022-05-23,SQUARESPACE INC.,SQUARESPACE INC.,225 VARICK STREET  NEW YORK  New York 10014,Business/Group/Organization,31.8000,Bagnall Tudball  Heather Citizens for,Media,Media - Website Development,,Debit Card,,Electoral,,
2460,2022-05-24,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,75.0000,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2461,2022-05-31,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,27.3700,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2462,2022-01-16,Henry Snurr,Henry Snurr,657 Denton Drive  Westminister  Maryland 21157,Individual,250.0000,Valentino-Smith  Geraldine Friends for,Media,Media - Website Development,,Check,,Electoral,,
2463,2022-06-06,Coffee News Bowie,Coffee News Bowie,7404 Macon Drive  Glen Burnie  Maryland 21060,Business/Group/Organization,159.0000,Bagnall Tudball  Heather Citizens for,Media,Online Advertising,,Debit Card,,Electoral,,
2464,2022-04-03,Henry Snurr,Henry Snurr,657 Denton Drive  Westminister  Maryland 21157,Individual,500.0000,Valentino-Smith  Geraldine Friends for,Media,Media - Website Development,,Check,,Electoral,,
2465,2022-06-03,Henry Snurr,Henry Snurr,657 Denton Drive  Westminister  Maryland 21157,Individual,500.0000,Valentino-Smith  Geraldine Friends for,Media,Media - Website Development,,Check,,Electoral,April/May 2022,
2466,2021-09-17,Montgomery County Democratic Central Committee,Montgomery County Democratic Central Committee,12320 Parklawn Drive  Suite 210  Rockville  Maryland 20852,Party Central,500.0000,Charkoudian  Lorig Friends of,Media,Book/Brochure Advertising,,Check,,Electoral,MCDCC D20 Team ad,
2467,2021-02-03,,,,Reimburse,114.4800,Charkoudian  Lorig Friends of,Media,Media - Website Development,,Check,Easy DNS,Electoral,Website and domain hosting fees,
2468,2021-09-17,,,,Reimburse,45.0000,Charkoudian  Lorig Friends of,Media,Media - Website Development,,Check,Envato Market,Electoral,Media - Website Development,
2469,2021-01-25,Squarespace,Squarespace,225 Varick St  New York  New York 10014,Business/Group/Organization,40.0000,Charkoudian  Lorig Friends of,Media,Media - Website Development,,Check,,Electoral,Media - Website Development,
2470,2022-10-25,Insider Management Group,Insider Management Group LLC,34 W. Gordon Street  -  Bel Air  Maryland 21014,Business/Group/Organization,4083.9000,Boyle-Tsottles  Jessica Friends of,Media,Book/Brochure Advertising,,Check,,Electoral,,
2471,2022-04-17,JIMDO,JIMDO,StresemannstraBe 375  22761 Hamburg  GERMANY,Business/Group/Organization,108.0000,Bevel  Enoch For Senate,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
2472,2022-02-28,Moore or Less Pictures Website & Consulting,Moore or Less Pictures Website & Consulting,9608 Bald Hill Rd  Mitchellville  Maryland 20721,Business/Group/Organization,283.9200,White  Jennifer Friends of,Media,Videos,,EFT,,Electoral,Videography for campaign video and website hosting fee for Squarespace,
2473,2022-04-06,Moore or Less Pictures Website & Consulting,Moore or Less Pictures Website & Consulting,9608 Bald Hill Rd  Mitchellville  Maryland 20721,Business/Group/Organization,66.9600,White  Jennifer Friends of,Media,Videos,,EFT,,Electoral,Video editing and Squarespace hosting fees,
2474,2022-06-03,Wix.com,Wix.com,500 Terry A Francois Blvd  6th Floor  San Francisco  California 94158,Business/Group/Organization,588.0000,Wright  Nakia Friends of,Media,Media - Website Development,,Debit Card,,Electoral,Auto Debit - Recurring Payment.  They should not have charged.  Service Cancelled and they are issuing a refund.,
2475,2022-12-01,Flag Publications  Inc,Flag Publications  Inc,11934 Ocean Gateway  Suite 6  Ocean City  Maryland 21842,Business/Group/Organization,268.0000,Ferrante  Todd Friends of,Media,Newspaper,,Check,,Electoral,,
2476,2022-11-09,,,,Reimburse,125.0000,Lee  Susan C. Friends Of,Media,Media - Website Development,,Check,Constant Contact,Electoral,,
2477,2022-12-01,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,124.1600,Sanders  Sterling Citizens for,Media,Online Advertising,,Debit Card,,Electoral,Final social media advertisment (ended on Nov. 8),
2478,2022-07-29,I.T. with Merritts LLC,IT with Merritts LLC,913 Market Street  Pocomoke  Maryland 21851,Business/Group/Organization,150.0000,Nordstrom  (Joshua) in November,Media,Media - Website Development,,EFT,,Electoral,,
2479,2022-08-13,IT with Merritts LLC,IT with Merritts LLC,913 Market Street  Pocomoke City  Maryland 21851,Business/Group/Organization,150.0000,Nordstrom  (Joshua) in November,Media,Media - Website Development,,EFT,,Electoral,,
2480,2022-08-26,Facebook,Facebook,1 Hacker Way  Meno Park  California 94025,Business/Group/Organization,57.7900,Dappert  Michele Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
